Epoch: 0.33, Training Loss: 0.4395308494567871, Evaluation Loss: 1.9569293685257434
Epoch: 0.66, Training Loss: 1.0011178255081177, Evaluation Loss: 0.9583413064479828
Epoch: 0.99, Training Loss: 1.5515892505645752, Evaluation Loss: 1.1769864266738295
Epoch: 1.00, Training Loss: 0.26435330510139465, Evaluation Loss: 0.8838003963232041
Epoch: 1.33, Training Loss: 1.249808669090271, Evaluation Loss: 0.7075664307922125
Epoch: 1.66, Training Loss: 2.8548777103424072, Evaluation Loss: 0.7087151234969497
Epoch: 1.99, Training Loss: 0.18202313780784607, Evaluation Loss: 0.5440440965816379
Epoch: 2.00, Training Loss: 0.13476739823818207, Evaluation Loss: 0.5406150174327194
Epoch: 2.33, Training Loss: 1.147237777709961, Evaluation Loss: 0.6156840439885854
Epoch: 2.66, Training Loss: 0.3147394359111786, Evaluation Loss: 0.5254254356957972
Epoch: 2.99, Training Loss: 0.6214447617530823, Evaluation Loss: 0.524345102161169
Epoch: 3.00, Training Loss: 0.14016376435756683, Evaluation Loss: 0.5243238909170032
Epoch: 3.33, Training Loss: 0.5099151134490967, Evaluation Loss: 0.5243238909170032
Epoch: 3.66, Training Loss: 0.5183262228965759, Evaluation Loss: 0.5243238909170032
Epoch: 3.99, Training Loss: 0.4558621346950531, Evaluation Loss: 0.5243238909170032
Epoch: 4.00, Training Loss: 0.13657459616661072, Evaluation Loss: 0.5243238909170032
Epoch: 4.33, Training Loss: 0.01790391467511654, Evaluation Loss: 0.5243238909170032
Epoch: 4.66, Training Loss: 0.10878071188926697, Evaluation Loss: 0.5243238909170032
Epoch: 4.99, Training Loss: 0.29718419909477234, Evaluation Loss: 0.5243238909170032
Epoch: 5.00, Training Loss: 0.41690632700920105, Evaluation Loss: 0.5243238909170032
